© 2000-2021 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
4-1BB Signaling in T Lymphocytes	7.26E-01	1.21E-01	0.000	IKBKB,IKBKE,TNFRSF9,TRAF1	
Triacylglycerol Degradation	7.26E-01	1.21E-01	-1.000	ABHD2,FAAH,PNPLA7,PRDX6	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	7.24E-01	1.36E-01	NaN	CDIPT,PLCG1,PLCG2	
Inhibition of ARE-Mediated mRNA Degradation Pathway	7.21E-01	9.03E-02	0.577	FASLG,LTB,PPM1J,PRKACB,PRKAR1A,PSMB8,PSME1,PSME2,TIA1,TNFRSF1B,TNFSF8,YWHAB,YWHAQ	
Protein Citrullination	7.17E-01	3.33E-01	NaN	PADI2	
Creatine-phosphate Biosynthesis	7.17E-01	3.33E-01	NaN	CKB	
NADH Repair	7.17E-01	3.33E-01	NaN	GAPDH	
ERK5 Signaling	7.12E-01	1.01E-01	1.633	IL6ST,MEF2A,MEF2C,RAP1B,SH2D2A,YWHAB,YWHAQ	
Granzyme A Signaling	7.06E-01	1.67E-01	NaN	GZMA,PRF1	
CREB Signaling in Neurons	6.95E-01	7.95E-02	0.507	ADGRE5,ADGRG5,ADORA2A,Calm1 (includes others),CAMK2G,CAMK4,CCR2,CCR5,CCR7,CCR9,CNR2,CX3CR1,CXCR6,F2R,GNB1,GPR146,GPR171,GPR183,LPAR6,P2RY10,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B,S1PR1,S1PR5,TBXA2R,TGFBR2,VIPR1	
IL-1 Signaling	6.8E-01	9.64E-02	1.134	GNB1,IKBKB,IKBKE,IRAK2,MAP2K3,MAP3K1,PRKACB,PRKAR1A	
Toll-like Receptor Signaling	6.7E-01	9.86E-02	1.000	IKBKB,IRAK2,MAP2K3,MAP3K1,RPS27A,TLR1,TRAF1	
Triacylglycerol Biosynthesis	6.64E-01	1.14E-01	2.000	AGPAT3,ELOVL1,LPIN1,LPIN2	
Human Embryonic Stem Cell Pluripotency	6.35E-01	8.76E-02	NaN	FOXO1,GNB1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,S1PR1,S1PR5,SMAD3,Tcf7,TGFBR2	
TWEAK Signaling	6.35E-01	1.11E-01	-2.000	IKBKB,IKBKE,TNFRSF25,TRAF1	
TNFR1 Signaling	6.35E-01	1.04E-01	-1.342	IKBKB,IKBKE,MADD,MAP3K1,MAP4K2	
Acute Phase Response Signaling	6.11E-01	8.55E-02	-0.277	HNRNPK,IKBKB,IKBKE,IL6R,IL6ST,MAP2K3,MAP3K1,PIK3CD,PIK3CG,PIK3R1,RAP1B,SOCS3,TNFRSF1B	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	6.06E-01	1.08E-01	NaN	MEF2A,PCGF6,TP53,WWP2	
G Protein Signaling Mediated by Tubby	6.06E-01	1.08E-01	NaN	GNB1,LCK,PLCG1,PLCG2	
Arginine Biosynthesis IV	6.06E-01	2.5E-01	NaN	GLUD1	
Spermine and Spermidine Degradation I	6.06E-01	2.5E-01	NaN	SAT1	
Xenobiotic Metabolism General Signaling Pathway	6.06E-01	8.85E-02	1.265	MAP2K3,MAP3K1,MGST2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKCB,PRKCQ,RAP1B	
Xenobiotic Metabolism Signaling	5.75E-01	8.11E-02	NaN	CAMK2G,CAMK4,DNAJC7,HDAC4,HS3ST3B1,HSP90AB1,HSP90B1,MAP2K3,MAP3K1,MGST2,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PPM1J,PRKCB,PRKCQ,RAP1B	
Dilated Cardiomyopathy Signaling Pathway	5.73E-01	8.82E-02	0.378	ACTB,ACTG1,CAMK2G,CAMK4,KDM5A,MYH9,MYL6,PRKACB,PRKAR1A	
Tumor Microenvironment Pathway	5.73E-01	8.39E-02	1.387	CD44,CFLAR,FASLG,FOXO1,HLA-A,HLA-E,ICAM1,IL6R,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B	
Tight Junction Signaling	5.69E-01	8.45E-02	NaN	ACTB,ACTG1,ARHGEF2,MYH9,MYL6,PPM1J,PRKACB,PRKAR1A,RHOA,SPTAN1,TGFBR2,TNFRSF1B	
Endocannabinoid Neuronal Synapse Pathway	5.62E-01	8.62E-02	0.333	CNR2,FAAH,GNB1,GRINA,PLCG1,PLCG2,PPP3CA,PPP3CC,PRKACB,PRKAR1A	
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	5.59E-01	8.74E-02	1.667	IL6ST,JAK1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,TP53,TYK2	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	5.59E-01	1.33E-01	NaN	CCL4,CCL5	
Chondroitin Sulfate Degradation (Metazoa)	5.59E-01	1.33E-01	NaN	ARSB,GM2A	
Complement System	5.48E-01	1.11E-01	NaN	ITGAM,ITGAX,ITGB2	
Activation of IRF by Cytosolic Pattern Recognition Receptors	5.45E-01	9.62E-02	-2.236	IKBKB,IKBKE,IRF9,SIKE1,STAT1	
G Beta Gamma Signaling	5.45E-01	8.65E-02	1.667	GNB1,PIK3CG,PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAP1B	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	5.45E-01	9.62E-02	0.447	PLCG1,PLCG2,PRKACB,PRKAR1A,VIPR1	
Adrenomedullin signaling pathway	5.42E-01	8.19E-02	1.604	Calm1 (includes others),CAMK4,KCNN4,MAP2K3,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PRKACB,PRKAR1A,PTK2B,RAP1B	
VDR/RXR Activation	5.41E-01	9.23E-02	0.447	CCL5,FOXO1,MXD1,PRKCB,PRKCQ,RUNX2	
Dopamine Receptor Signaling	5.41E-01	9.23E-02	NaN	PPM1J,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A	
Oxidative Phosphorylation	5.27E-01	8.7E-02	-1.414	ATP5F1B,COX4I1,COX7A2L,COX8A,CYB5A,NDUFA10,NDUFA3,SDHA	
Arsenate Detoxification I (Glutaredoxin)	5.24E-01	2E-01	NaN	AS3MT	
Ceramide Biosynthesis	5.24E-01	2E-01	NaN	SPTSSA	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	5.24E-01	2E-01	NaN	PDHA1	
FAT10 Signaling Pathway	5.24E-01	9.43E-02	NaN	PSMB8,PSME1,PSME2,SQSTM1,UBA1	
Hepatic Cholestasis	5.04E-01	8.07E-02	NaN	FASLG,IKBKB,IKBKE,IL18RAP,IRAK2,LTB,MAP4K2,PRKACB,PRKAR1A,PRKCB,PRKCQ,TNFRSF1B,TNFSF8	
Cardiac β-adrenergic Signaling	5.02E-01	8.21E-02	0.000	AKAP13,AKAP8,ATP2A3,GNB1,PDE4B,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A	
Estrogen-Dependent Breast Cancer Signaling	4.89E-01	8.82E-02	0.816	PIK3CD,PIK3CG,PIK3R1,PIK3R5,RAP1B,STAT5B	
Spliceosomal Cycle	4.87E-01	9.52E-02	-1.000	DDX39B,HSPA8,SF3B1,SF3B3	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	4.84E-01	1.18E-01	NaN	CCL4,CCL5	
Glutathione Redox Reactions I	4.84E-01	1.18E-01	NaN	MGST2,PRDX6	
Methionine Degradation I (to Homocysteine)	4.84E-01	1.18E-01	NaN	MAT2A,PRMT3	
Apelin Adipocyte Signaling Pathway	4.72E-01	8.7E-02	-1.342	MGST2,PRDX6,PRKAB1,PRKACB,PRKAR1A,RAC2	
PPAR Signaling	4.7E-01	8.33E-02	-0.707	HSP90AB1,HSP90B1,IKBKB,IKBKE,IL18RAP,RAP1B,STAT5B,TNFRSF1B	
Chondroitin and Dermatan Biosynthesis	4.58E-01	1.67E-01	NaN	CHSY1	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	4.58E-01	1.67E-01	NaN	SEPHS2	
Inositol Pyrophosphates Biosynthesis	4.58E-01	1.67E-01	NaN	IP6K1	
Glycogen Biosynthesis II (from UDP-D-Glucose)	4.58E-01	1.67E-01	NaN	GYG1	
GDP-mannose Biosynthesis	4.58E-01	1.67E-01	NaN	GPI	
CDK5 Signaling	4.57E-01	8.25E-02	1.134	ITGB1,PPM1J,PPP1CA,PPP1R11,PPP1R12A,PRKACB,PRKAR1A,RAP1B	
Factors Promoting Cardiogenesis in Vertebrates	4.49E-01	8E-02	0.000	CAMK2G,LEF1,MEF2C,PLCG1,PLCG2,PRKCB,PRKCQ,RHOA,Tcf7,TGFBR2	
HOTAIR Regulatory Pathway	4.46E-01	7.91E-02	0.905	CD44,ICAM1,LEF1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,RBM38,STK38,Tcf7,VIM	
Hypoxia Signaling in the Cardiovascular System	4.41E-01	8.45E-02	NaN	HSP90AB1,HSP90B1,P4HB,TP53,UBE2D3,UBE2G2	
Polyamine Regulation in Colon Cancer	4.34E-01	8.62E-02	NaN	MXD1,PSMB8,PSME1,PSME2,SAT1	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	4.23E-01	8.14E-02	0.378	PLCG1,PLCG2,PRKACB,PRKAR1A,PRKCB,PRKCQ,RAPGEF4	
Cysteine Biosynthesis III (mammalia)	4.21E-01	1.05E-01	NaN	MAT2A,PRMT3	
Vitamin-C Transport	4.21E-01	1.05E-01	NaN	LRRC8A,LRRC8C	
RAR Activation	4.13E-01	7.65E-02	NaN	ACTB,ARID1A,DHRS3,MAP3K1,PIK3CD,PIK3CG,PIK3R1,PRKACB,PRKAR1A,PRKCB,PRKCQ,SMAD3,STAT5B	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	4.07E-01	1.43E-01	NaN	APOBEC3B	
Sphingomyelin Metabolism	4.07E-01	1.43E-01	NaN	SGMS1	
GNRH Signaling	4.05E-01	7.64E-02	2.530	Calm1 (includes others),CAMK2G,CAMK4,GNB1,MAP2K3,MAP3K1,PRKACB,PRKAR1A,PRKCB,PRKCQ,PTK2B,RAP1B	
Phototransduction Pathway	4E-01	9.09E-02	NaN	GNB1,PRKACB,PRKAR1A	
Role of BRCA1 in DNA Damage Response	3.99E-01	8.11E-02	NaN	ACTB,ARID1A,RBL2,RFC2,STAT1,TP53	
Xenobiotic Metabolism CAR Signaling Pathway	3.95E-01	7.69E-02	0.000	DNAJC7,HS3ST3B1,HSP90AB1,HSP90B1,MAP2K3,MGST2,PPM1J,PRKCB,PRKCQ,RACK1	
CDP-diacylglycerol Biosynthesis I	3.94E-01	1E-01	NaN	AGPAT3,CDS2	
Endothelin-1 Signaling	3.86E-01	7.55E-02	1.508	CASP1,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PLCG1,PLCG2,PLD3,PRDX6,PRKCB,PRKCQ,RAP1B	
Mitochondrial Dysfunction	3.76E-01	7.53E-02	NaN	ATP5F1B,COX4I1,COX7A2L,COX8A,CYB5A,NDUFA10,NDUFA3,PDHA1,SDHA,UCP2,XDH	
NAD Phosphorylation and Dephosphorylation	3.63E-01	1.25E-01	NaN	Acp5	
Ketolysis	3.63E-01	1.25E-01	NaN	OXCT1	
IL-17A Signaling in Fibroblasts	3.62E-01	8.57E-02	NaN	IKBKB,IKBKE,IL17RA	
UVC-Induced MAPK Signaling	3.6E-01	8.16E-02	0.000	PRKCB,PRKCQ,RAP1B,TP53	
Cyclins and Cell Cycle Regulation	3.48E-01	7.69E-02	0.000	CCND2,CCND3,HDAC4,PPM1J,RBL2,TP53	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	3.45E-01	9.09E-02	NaN	AGPAT3,CDS2	
Antioxidant Action of Vitamin C	3.39E-01	7.53E-02	0.816	IKBKB,IKBKE,PLCG1,PLCG2,PLD3,PRDX6,STAT5B	
Phospholipases	3.3E-01	7.84E-02	NaN	PLCG1,PLCG2,PLD3,PRDX6	
Role of IL-17A in Psoriasis	3.25E-01	1.11E-01	NaN	IL17RA	
IL-17A Signaling in Gastric Cells	3.23E-01	8.7E-02	NaN	CCL5,IL17RA	
Glutamate Receptor Signaling	3.16E-01	7.69E-02	NaN	Calm1 (includes others),CAMK4,GNB1,GRINA	
Acyl-CoA Hydrolysis	2.93E-01	1E-01	NaN	ACOT7	
Aryl Hydrocarbon Receptor Signaling	2.92E-01	7.09E-02	-0.707	CCND2,CCND3,CTSD,FASLG,HSP90AB1,HSP90B1,MGST2,RBL2,TP53	
Relaxin Signaling	2.92E-01	7.09E-02	2.121	GNB1,PDE4B,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKACB,PRKAR1A,RAP1B	
Sonic Hedgehog Signaling	2.84E-01	8E-02	NaN	PRKACB,PRKAR1A	
Gαi Signaling	2.77E-01	7.02E-02	-0.707	CNR2,GNB1,PRKACB,PRKAR1A,RAP1B,RGS10,S1PR1,TBXA2R	
TGF-β Signaling	2.72E-01	7.06E-02	1.633	MAP2K3,RAP1B,RUNX2,RUNX3,SMAD3,TGFBR2	
Atherosclerosis Signaling	2.62E-01	6.93E-02	NaN	CCR2,CMA1,ICAM1,ITGA4,ITGB2,PRDX6,SELPLG	
Mitotic Roles of Polo-Like Kinase	2.54E-01	7.02E-02	NaN	ANAPC5,HSP90AB1,HSP90B1,PPM1J	
Wnt/Ca+ pathway	2.43E-01	6.9E-02	1.000	NFATC1,PLCG1,PLCG2,PPP3CA	
Guanosine Nucleotides Degradation III	2.41E-01	8.33E-02	NaN	XDH	
UDP-N-acetyl-D-galactosamine Biosynthesis II	2.41E-01	8.33E-02	NaN	GPI	
Airway Inflammation in Asthma	2.35E-01	7.14E-02	NaN	IFNGR1,IFNGR2	
Circadian Rhythm Signaling	2.2E-01	6.9E-02	NaN	BHLHE40,GRINA	
Pyrimidine Ribonucleotides Interconversion	2.2E-01	6.9E-02	NaN	CMPK1,ENTPD1	
Choline Biosynthesis III	2.19E-01	7.69E-02	NaN	PLD3	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	2.19E-01	7.69E-02	NaN	XDH	
Colanic Acid Building Blocks Biosynthesis	2.19E-01	7.69E-02	NaN	GPI	
Adenosine Nucleotides Degradation II	2.19E-01	7.69E-02	NaN	XDH	
Cardiomyocyte Differentiation via BMP Receptors	2E-01	7.14E-02	NaN	MEF2C	
The Visual Cycle	2E-01	7.14E-02	NaN	DHRS3	
γ-linolenate Biosynthesis II (Animals)	2E-01	7.14E-02	NaN	CYB5A	
Pregnenolone Biosynthesis	2E-01	7.14E-02	NaN	MICAL1	
NAD Signaling Pathway	-0E00	6.45E-02	0.707	IDH2,PARP11,PIK3CD,PIK3CG,PIK3R1,PIK3R5,PRKAB1,TP53	
Synaptic Long Term Depression	-0E00	5.23E-02	0.378	LYN,PLCG1,PLCG2,PPM1J,PRDX6,PRKCB,PRKCQ,RAP1B	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	3.37E-02	2.000	ABCG1,HS3ST3B1,IL18RAP,MAP3K1,MGST2,TNFRSF1B	
Coagulation System	-0E00	3.57E-02	NaN	F2R	
LXR/RXR Activation	-0E00	4.26E-02	NaN	ABCG1,IL18RAP,MYLIP,TNFRSF1B	
FXR/RXR Activation	-0E00	1.12E-02	NaN	FOXO1	
PXR/RXR Activation	-0E00	6E-02	NaN	FOXO1,PRKACB,PRKAR1A	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	6.06E-02	NaN	IKBKB,IKBKE	
MIF Regulation of Innate Immunity	-0E00	5.13E-02	NaN	CD74,TP53	
Airway Pathology in Chronic Obstructive Pulmonary Disease	-0E00	4.88E-02	NaN	FASLG,LTB,PRF1,TNFSF8	
Cell Cycle Regulation by BTG Family Proteins	-0E00	6.06E-02	NaN	BTG2,PPM1J	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	4.26E-02	NaN	GAPDH,UCP2	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	5.88E-02	NaN	PPM1J,RFC2,TP53	
DNA Methylation and Transcriptional Repression Signaling	-0E00	6.67E-02	NaN	CHD3,MTA2	
ATM Signaling	-0E00	3.41E-02	NaN	HP1BP3,PPM1J,TP53	
Androgen Signaling	-0E00	5.59E-02	0.378	Calm1 (includes others),CAMK4,GNB1,PRKACB,PRKAR1A,PRKCB,PRKCQ,SMAD3	
Basal Cell Carcinoma Signaling	-0E00	5.08E-02	NaN	LEF1,Tcf7,TP53	
Bladder Cancer Signaling	-0E00	4.12E-02	NaN	HDAC4,RAP1B,RBL2,TP53	
Retinoic acid Mediated Apoptosis Signaling	-0E00	5E-02	NaN	CFLAR,PARP11	
Granzyme B Signaling	-0E00	6.67E-02	NaN	PRF1	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	3.64E-02	NaN	LEF1,Tcf7	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00	5.56E-02	NaN	CCL5,MAP2K3,PRDX6,RAP1B	
MIF-mediated Glucocorticoid Regulation	-0E00	3.23E-02	NaN	CD74	
Cell Cycle Control of Chromosomal Replication	-0E00	2E-02	NaN	MCM6	
Mismatch Repair in Eukaryotes	-0E00	6.67E-02	NaN	RFC2	
Role of IL-17F in Allergic Inflammatory Airway Diseases	-0E00	5E-02	NaN	CCL4,IL17RA	
Transcriptional Regulatory Network in Embryonic Stem Cells	-0E00	2.86E-02	NaN	EOMES	
nNOS Signaling in Skeletal Muscle Cells	-0E00	5.71E-02	NaN	Calm1 (includes others),CAMK4	
Heparan Sulfate Biosynthesis	-0E00	5.77E-02	NaN	HS3ST3B1,PNPLA7,PRDX6	
Retinoate Biosynthesis I	-0E00	4E-02	NaN	DHRS3	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	6.52E-02	NaN	HS3ST3B1,PNPLA7,PRDX6	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00	6.45E-02	NaN	CMPK1,ENTPD1	
Ubiquinol-10 Biosynthesis (Eukaryotic)	-0E00	5.88E-02	NaN	MICAL1	
tRNA Splicing	-0E00	2.86E-02	NaN	PDE4B	
NAD Salvage Pathway II	-0E00	5.56E-02	NaN	Acp5	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	5.08E-02	NaN	MAP2K3,PRKCQ,PRKX	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	-0E00	5.26E-02	NaN	CMPK1	
Chondroitin Sulfate Biosynthesis	-0E00	5.13E-02	NaN	CHSY1,HS3ST3B1	
Dermatan Sulfate Biosynthesis	-0E00	4.76E-02	NaN	CHSY1,HS3ST3B1	
Glutathione-mediated Detoxification	-0E00	5.88E-02	NaN	MGST2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	-0E00	6.25E-02	NaN	INPP5D	
tRNA Charging	-0E00	5.41E-02	NaN	LARS2,VARS1	
Dermatan Sulfate Biosynthesis (Late Stages)	-0E00	3.33E-02	NaN	HS3ST3B1	
Dermatan Sulfate Degradation (Metazoa)	-0E00	6.67E-02	NaN	GM2A	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	-0E00	4.76E-02	NaN	INPP5D	
Purine Nucleotides Degradation II (Aerobic)	-0E00	6.25E-02	NaN	XDH	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00	6.25E-02	NaN	INPP5D	
TCA Cycle II (Eukaryotic)	-0E00	4.76E-02	NaN	SDHA	
D-myo-inositol (1,4,5)-trisphosphate Degradation	-0E00	6.25E-02	NaN	INPP5D	
Retinol Biosynthesis	-0E00	3.85E-02	NaN	DHRS3	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	6.1E-02	1.342	APOBEC3B,CMPK1,MAP2K3,PRKCQ,PRKX	
Chondroitin Sulfate Biosynthesis (Late Stages)	-0E00	6.25E-02	NaN	CHSY1,HS3ST3B1	
Histidine Degradation VI	-0E00	6.67E-02	NaN	MICAL1	
Stearate Biosynthesis I (Animals)	-0E00	4.76E-02	NaN	ACOT7,ELOVL1	
Putrescine Degradation III	-0E00	5.88E-02	NaN	SAT1	
Superpathway of Methionine Degradation	-0E00	6.67E-02	NaN	MAT2A,PRMT3	
DNA damage-induced 14-3-3σ Signaling	-0E00	5.56E-02	NaN	TP53	
Gαs Signaling	-0E00	6.86E-02	1.134	ADD1,ADORA2A,GNB1,PRKACB,PRKAR1A,RAPGEF4,VIPR1	
Adipogenesis pathway	-0E00	6.61E-02	NaN	BSCL2,FOXO1,HDAC4,LPIN1,SMAD3,STAT5B,TP53,XBP1	
PCP pathway	-0E00	5.77E-02	NaN	JUNB,PFN1,RHOA	
Amyloid Processing	-0E00	6.52E-02	NaN	CAPN2,PRKACB,PRKAR1A	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00	6.25E-02	NaN	TP53,YWHAB,YWHAQ	
GABA Receptor Signaling	-0E00	4.26E-02	NaN	GABARAP,GNB1,KCNN4,RPS27A	
Wnt/β-catenin Signaling	-0E00	4.9E-02	-0.816	CD44,LEF1,PPM1J,RPS27A,Tcf7,TGFBR2,TP53	
Notch Signaling	-0E00	5.88E-02	NaN	DTX1,NOTCH2	
BMP signaling pathway	-0E00	6.58E-02	1.342	CAMK4,PRKACB,PRKAR1A,RAP1B,RUNX2	
Gustation Pathway	-0E00	5.36E-02	NaN	GNB1,LPAR6,P2RY10,PDE4B,PRKACB,PRKAR1A	
Sirtuin Signaling Pathway	-0E00	6.64E-02	-0.277	ACLY,AGTRAP,ATP5F1B,FOXO1,GABARAP,GLUD1,IDH2,NDUFA10,NDUFA3,PDHA1,PDK1,SDHA,SLC25A4,TP53,TSPO,UCP2	
NER (Nucleotide Excision Repair, Enhanced Pathway)	-0E00	2.13E-02	NaN	CETN2,RFC2	
Apelin Cardiac Fibroblast Signaling Pathway	-0E00	4.76E-02	NaN	PRKAB1	
Apelin Muscle Signaling Pathway	-0E00	5E-02	NaN	GNB1,PRKAB1	
White Adipose Tissue Browning Pathway	-0E00	3.85E-02	2.000	FCER1G,PRKAB1,PRKACB,PRKAR1A	
BEX2 Signaling Pathway	-0E00	5.8E-02	-1.000	LEF1,LGALS1,PPM1J,Tcf7	
Xenobiotic Metabolism AHR Signaling Pathway	-0E00	6.25E-02	-1.000	HDAC4,HSP90AB1,HSP90B1,MGST2	
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	-0E00	2.67E-02	NaN	LEF1,Tcf7	
Kinetochore Metaphase Signaling Pathway	-0E00	5.26E-02	0.447	ANAPC5,H2AZ1,PPP1CA,PPP1R11,PPP1R12A	
Coronavirus Replication Pathway	-0E00	3.03E-02	NaN	TUBB	
Eicosanoid Signaling	-0E00	5.36E-02	NaN	LTA4H,PRDX6,TBXA2R	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	-0E00	6E-02	1.342	ATP6V0A2,ATP6V1D,MAP2K3,PRDX6,RAP1B,TCIRG1	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	-0E00	4.48E-02	NaN	CCL5,MAP2K3,PRDX6	
