© 2000-2023 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Glycerol Degradation I	5.57E-01	1.67E-01	NaN	GPD2	
HIPPO signaling	5.52E-01	7.14E-02	NaN	CUL1,ITCH,PPP1R12A,SMAD3,TJP2,YWHAQ	
Cardiac β-adrenergic Signaling	5.47E-01	6.47E-02	NaN	ADRB1,CACNB4,ENPP1,GNAS,GNB1,PDE1C,PDE2A,PDE4A,PKIG,PPP1R12A,PRKACB	
White Adipose Tissue Browning Pathway	5.4E-01	6.62E-02	NaN	ATF4,CACNB4,CREB5,CTBP2,FCER1G,GNAS,PPARGC1A,PRKAB1,PRKACB	
CREB Signaling in Neurons	5.35E-01	5.83E-02	NaN	ADGRL4,ADRB1,ATF4,CACNB4,Calm1 (includes others),CAMK2B,CAMK2G,CCR5,CMKLR1,CREB5,CX3CR1,FZD5,GNAS,GNB1,GPR137B,GPR160,GPR171,GPRC5A,HRH2,MAPK3,P2RY14,PDGFB,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,POLR2E,POLR2I,PRKACB,RAP2A,RAP2B,S1PR5,SOS2	
NER (Nucleotide Excision Repair, Enhanced Pathway)	5.24E-01	6.98E-02	NaN	CETN2,POLR2E,POLR2I,RFC2,RPA2,RPA3	
T Cell Receptor Signaling	5.24E-01	5.94E-02	NaN	Calm1 (includes others),CSF2,DUSP5,FCER1G,FYN,HLA-A,IFNG,ITGA2,ITGB1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAP2A,RAP2B,SOS2,TCF4,Trbd1,Trbj1-1,Trbj1-2	
Cell Cycle Control of Chromosomal Replication	5.17E-01	7.55E-02	NaN	CDK14,ORC1,RPA2,RPA3	
Role of Cytokines in Mediating Communication between Immune Cells	5.1E-01	8.11E-02	NaN	CSF2,IFNG,IL15	
Tight Junction Signaling	5.09E-01	6.32E-02	NaN	AFDN,ARHGEF2,CTNNA1,GOSR1,MYH8,NFKB1,PRKACB,TGFB3,TJP1,TJP2,VAMP3	
Ceramide Biosynthesis	5.01E-01	1.43E-01	NaN	SPTLC2	
Glycoaminoglycan-protein Linkage Region Biosynthesis	5.01E-01	1.43E-01	NaN	B4GALT7	
Airway Pathology in Chronic Obstructive Pulmonary Disease	5E-01	6.67E-02	NaN	CSF2,FASLG,IFNG,IL15,PRF1,TGFB3,TNFSF12	
Netrin Signaling	4.97E-01	7.04E-02	NaN	CACNB4,PPP3CA,PRKACB,RAC3,RYR3	
Dendritic Cell Maturation	4.87E-01	5.88E-02	NaN	ATF4,CREB5,CSF2,FCER1G,FCGR2A,FCGR2B,HLA-A,IL15,IRF8,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,STAT4,TLR4,Trbd1,Trbj1-1,Trbj1-2,TYROBP	
IL-4 Signaling	4.87E-01	5.88E-02	NaN	ATF4,COL19A1,COL8A2,CREB5,FCER1G,JAK1,MAPK3,NFIL3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PRR5,PRR5L,RAP2A,RAP2B,SOS2,TGFB3,Trbd1,Trbj1-1,Trbj1-2	
PKCθ Signaling in T Lymphocytes	4.74E-01	5.87E-02	NaN	CACNB4,CAMK2B,CAMK2G,FCER1G,FYN,HLA-A,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAC3,RAP2A,RAP2B,SOS2,Trbd1,Trbj1-1,Trbj1-2	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	4.69E-01	6.85E-02	NaN	CCL5,IFNG,MAPK3,NFKB1,TLR4	
The Visual Cycle	4.64E-01	8.7E-02	NaN	DHRS3,DHRS7	
Apelin Cardiac Fibroblast Signaling Pathway	4.64E-01	8.7E-02	NaN	PRKAB1,TGFB3	
Superoxide Radicals Degradation	4.54E-01	1.25E-01	NaN	GPX7	
Glutathione Redox Reactions I	4.4E-01	8.33E-02	NaN	GPX7,GPX8	
Hypoxia Signaling in the Cardiovascular System	4.3E-01	6.58E-02	NaN	ATF4,CDC34,CREB5,UBE2L3,UBE2Q2	
IL-1 Signaling	4.26E-01	6.38E-02	NaN	GNAS,GNB1,IL1RAP,NFKB1,PRKACB,TAB2	
LXR/RXR Activation	4.24E-01	6.25E-02	NaN	IL18RAP,IL1RAP,LY96,MYLIP,NFKB1,PON3,TLR4	
Agranulocyte Adhesion and Diapedesis	4.24E-01	5.98E-02	NaN	CCL3L3,CCL4,CCL5,Ccl9,CCR5,ITGA4,ITGA5,ITGB1,MYH8,SDC4,SELPLG	
GADD45 Signaling	4.24E-01	6.78E-02	NaN	GADD45G,NFKB1,SMAD3,TGFB3	
Factors Promoting Cardiogenesis in Vertebrates	4.23E-01	6.08E-02	NaN	ATF4,CAMK2B,CAMK2G,CREB5,FZD5,MEF2C,PLCG2,TCF4,TGFB3	
Citrulline Biosynthesis	4.14E-01	1.11E-01	NaN	PRODH	
GDP-glucose Biosynthesis	4.14E-01	1.11E-01	NaN	HK3	
B Cell Activating Factor Signaling	4.02E-01	6.98E-02	NaN	NFKB1,TNFRSF13C,TRAF1	
Role of MAPK Signaling in the Pathogenesis of Influenza	3.95E-01	6.33E-02	NaN	CCL5,IFNG,MAPK3,RAP2A,RAP2B	
Retinoic acid Mediated Apoptosis Signaling	3.87E-01	6.82E-02	NaN	BID,CASP9,IFNG	
Dermatan Sulfate Biosynthesis (Late Stages)	3.87E-01	6.82E-02	NaN	CHST11,CHST12,SULT2B1	
Retinol Biosynthesis	3.87E-01	6.82E-02	NaN	DAGLB,DHRS3,DHRS7	
DNA damage-induced 14-3-3σ Signaling	3.87E-01	6.82E-02	NaN	CASP1,CASP4,CASP9	
Glucose and Glucose-1-phosphate Degradation	3.79E-01	1E-01	NaN	HK3	
Prostanoid Biosynthesis	3.79E-01	1E-01	NaN	PTGS1	
Oleate Biosynthesis II (Animals)	3.79E-01	1E-01	NaN	Scd2	
Calcium Transport I	3.79E-01	1E-01	NaN	ATP2B4	
Glycogen Degradation II	3.79E-01	1E-01	NaN	AGL	
Glucocorticoid Biosynthesis	3.79E-01	1E-01	NaN	CYP17A1	
Xenobiotic Metabolism CAR Signaling Pathway	3.77E-01	5.81E-02	NaN	CHST11,CHST12,GSTA3,GSTM4,GSTM5,MAPK3,PPARGC1A,SULT2B1,UGT1A6,Ugt1a7c	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	3.72E-01	6.67E-02	NaN	MEF2A,NR2F6,SPP1	
Acute Phase Response Signaling	3.69E-01	5.78E-02	NaN	IL1RAP,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,RAP2A,RAP2B,SOS2,TCF4	
Atherosclerosis Signaling	3.68E-01	5.93E-02	NaN	CMA1,IFNG,ITGA4,NFKB1,PDGFB,SELPLG,TNFSF12	
EIF2 Signaling	3.63E-01	5.69E-02	NaN	ATF4,EIF3J,EIF4E3,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAP2A,RAP2B,SOS2,XIAP	
BAG2 Signaling Pathway	3.62E-01	6.1E-02	NaN	ANXA2,HSPA2,MAPK3,NFKB1,SIRT3	
Antigen Presentation Pathway	3.59E-01	7.14E-02	NaN	HLA-A,IFNG	
Gαi Signaling	3.55E-01	5.8E-02	NaN	GNAS,GNB1,MAPK3,P2RY14,PRKACB,RAP2A,RAP2B,SOS2	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	3.48E-01	9.09E-02	NaN	IFNG	
Pentose Phosphate Pathway	3.48E-01	9.09E-02	NaN	RPIA	
Purine Nucleotides De Novo Biosynthesis II	3.48E-01	9.09E-02	NaN	ADSS1	
Cell Cycle: G1/S Checkpoint Regulation	3.48E-01	6.15E-02	NaN	CDC34,CUL1,SMAD3,TGFB3	
Chaperone Mediated Autophagy Signaling Pathway	3.47E-01	5.48E-02	NaN	ATP6V1E1,CASP1,FCER1G,HSPA2,ITCH,MARCHF5,MEF2A,NFKB1,PEA15,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,PRKAB1,PRR5,PRR5L,RAB11A,SIRT3,SNX10,TCIRG1,Trbd1,Trbj1-1,Trbj1-2	
PI3K Signaling in B Lymphocytes	3.45E-01	5.49E-02	NaN	ATF4,ATF6,Calm1 (includes others),CAMK2B,CAMK2G,FCGR2B,FYN,Ighv6-3,Igkv14-111,LYN,MAPK3,NFKB1,PIK3AP1,PIK3CB,PIK3CG,PIK3R1,PLCG2,PPP3CA,RAP2A,RAP2B,SYK,TLR4	
nNOS Signaling in Skeletal Muscle Cells	3.44E-01	6.38E-02	NaN	CACNB4,Calm1 (includes others),RYR3	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	3.41E-01	6.9E-02	NaN	UGT1A6,Ugt1a7c	
Assembly of RNA Polymerase II Complex	3.31E-01	6.25E-02	NaN	POLR2E,POLR2I,TAF4	
Methylglyoxal Degradation III	3.25E-01	6.67E-02	NaN	DHRS1,DHRS7	
Glycogen Degradation III	3.21E-01	8.33E-02	NaN	AGL	
Phospholipase C Signaling	3.13E-01	5.34E-02	NaN	AHNAK,ARHGEF2,ATF4,Calm1 (includes others),CREB5,FCER1G,FCGR2A,FCGR2B,FYN,GNAS,GNB1,Ighv6-3,Igkv14-111,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,LYN,MAPK3,MEF2A,MEF2C,MYL12B,NFKB1,PLCG2,PLD1,PPP1R12A,PPP3CA,RAC3,RAP2A,RAP2B,RHOB,RHOQ,SOS2,SYK,Trbd1,Trbj1-1,Trbj1-2	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	3.06E-01	6E-02	NaN	CDC34,CUL1,YWHAQ	
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.98E-01	5.34E-02	NaN	FCER1G,FYN,HLA-A,ITGA2,ITGB1,LYN,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,RAC3,RAP2A,RAP2B,TGFB3,Trbd1,Trbj1-1,Trbj1-2	
Guanosine Nucleotides Degradation III	2.97E-01	7.69E-02	NaN	XDH	
Unfolded protein response	2.96E-01	5.62E-02	NaN	ATF4,ATF6,DNAJB4,ERN1,HSPA2	
UVC-Induced MAPK Signaling	2.95E-01	5.88E-02	NaN	MAPK3,RAP2A,RAP2B	
Role of MAPK Signaling in Promoting the Pathogenesis of Influenza	2.88E-01	5.5E-02	NaN	ATP6V1E1,MAPK3,NFKB1,RAP2A,RAP2B,TCIRG1	
Complement System	2.8E-01	6.06E-02	NaN	ITGAM,ITGAX	
Protein Ubiquitination Pathway	2.77E-01	5.3E-02	NaN	CDC34,CUL1,DNAJB4,DNAJC25,HLA-A,HSPA13,HSPA2,IFNG,UBE2L3,UBE2Q2,USP46,USP48,USP50,XIAP	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.76E-01	5.56E-02	NaN	ADRB1,GNAS,PLCG2,PRKACB	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	2.75E-01	7.14E-02	NaN	XDH	
RAN Signaling	2.55E-01	6.67E-02	NaN	KPNA3	
Superpathway of Citrulline Metabolism	2.55E-01	6.67E-02	NaN	PRODH	
Adenosine Nucleotides Degradation II	2.55E-01	6.67E-02	NaN	XDH	
CD27 Signaling in Lymphocytes	2.43E-01	5.36E-02	NaN	BID,CASP9,NFKB1	
Role of JAK2 in Hormone-like Cytokine Signaling	2.43E-01	5.36E-02	NaN	JAK1,TYK2,VEGFC	
Androgen Biosynthesis	2.37E-01	6.25E-02	NaN	CYP17A1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	2.37E-01	6.25E-02	NaN	SYNJ1	
Parkinson's Signaling	2.37E-01	6.25E-02	NaN	CASP9	
Inhibition of Matrix Metalloproteases	2.31E-01	5.41E-02	NaN	ADAM17,RECK	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	2.21E-01	5.88E-02	NaN	SYNJ1	
Dermatan Sulfate Degradation (Metazoa)	2.21E-01	5.88E-02	NaN	CEMIP2	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	2.21E-01	5.88E-02	NaN	SYNJ1	
Mismatch Repair in Eukaryotes	2.06E-01	5.56E-02	NaN	RFC2	
Purine Nucleotides Degradation II (Aerobic)	2.06E-01	5.56E-02	NaN	XDH	
CSDE1 Signaling Pathway	-0E00	1.96E-02	NaN	SDC4	
Neurovascular Coupling Signaling Pathway	-0E00	3.67E-02	NaN	CACNB4,Calm1 (includes others),KCNJ1,KCNJ8,PPP1R12A,PRKACB,PTGS1,RYR3	
Oxytocin in Spinal Neurons Signaling Pathway	-0E00	2.86E-02	NaN	KCNJ8	
Synaptic Long Term Depression	-0E00	4.19E-02	NaN	CACNB4,GNAS,LYN,MAPK3,PLCG2,RAP2A,RAP2B,RYR3	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00	3.01E-02	NaN	CACNB4,GLUL,GNB1,PRKACB	
Microautophagy Signaling Pathway	-0E00	4.58E-02	NaN	CHMP4C,CHMP5,COL19A1,COL8A2,DNM1L,PRKAB1,VPS4B	
NFKBIE Signaling Pathway	-0E00	3.49E-02	NaN	FASLG,FCER1G,NFKB1,PPP6C,TNFRSF13C,TNFSF12,Trbd1,Trbj1-1,Trbj1-2	
LPS/IL-1 Mediated Inhibition of RXR Function	-0E00	5.13E-02	NaN	CHST11,CHST12,CRAT,GSTA3,GSTM4,GSTM5,IL18RAP,IL1RAP,LY96,PPARGC1A,SULT2B1,TLR4	
FXR/RXR Activation	-0E00	1.74E-02	NaN	PON3,PPARGC1A	
PXR/RXR Activation	-0E00	3.33E-02	NaN	PPARGC1A,PRKACB	
Role of BRCA1 in DNA Damage Response	-0E00	3.75E-02	NaN	IFNG,RFC2,SMARCD3	
Activation of IRF by Cytosolic Pattern Recognition Receptors	-0E00	3.7E-02	NaN	NFKB1,PPIB	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00	2.86E-02	NaN	NFKB1	
Role of NFAT in Regulation of the Immune Response	-0E00	4.5E-02	NaN	Calm1 (includes others),FCER1G,FCGR2A,FCGR2B,FYN,GNAS,GNB1,HLA-A,Ighv6-3,Igkv14-111,KPNA3,LYN,MAPK3,MEF2A,MEF2C,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PPP3CA,RAP2A,RAP2B,SOS2,SYK,Trbd1,Trbj1-1,Trbj1-2	
FcγRIIB Signaling in B Lymphocytes	-0E00	3.77E-02	NaN	CACNB4,FCGR2B,Ighv6-3,Igkv14-111,LYN,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SYK	
CCR5 Signaling in Macrophages	-0E00	4.21E-02	NaN	CACNB4,Calm1 (includes others),CCL4,CCL5,CCR5,FASLG,FCER1G,GNAS,GNB1,PLCG2,Trbd1,Trbj1-1,Trbj1-2	
Calcium-induced T Lymphocyte Apoptosis	-0E00	3.09E-02	NaN	Calm1 (includes others),CAPN2,FCER1G,HLA-A,PPP3CA,Trbd1,Trbj1-1,Trbj1-2	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	-0E00	3.85E-02	NaN	BID,CASP9,FASLG,FCER1G,HLA-A,PRF1,Trbd1,Trbj1-1,Trbj1-2	
T Helper Cell Differentiation	-0E00	4.78E-02	NaN	FCER1G,HLA-A,IFNG,IFNGR1,IL10RA,IL10RB,IL12RB2,IL18R1,STAT4,TBX21,Trbd1,Trbj1-1,Trbj1-2	
CD28 Signaling in T Helper Cells	-0E00	4.75E-02	NaN	ARPC3,Calm1 (includes others),FCER1G,FYN,HLA-A,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,SYK,Trbd1,Trbj1-1,Trbj1-2	
IL-15 Signaling	-0E00	4.72E-02	NaN	CSF2,Ighv6-3,Igkv14-111,IL15,JAK1,MAPK3,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,SYK,TYK2	
Mechanisms of Viral Exit from Host Cells	-0E00	5.13E-02	NaN	CHMP4C,PDCD6IP	
Cardiomyocyte Differentiation via BMP Receptors	-0E00	4.17E-02	NaN	MEF2C	
ICOS-ICOSL Signaling in T Helper Cells	-0E00	4.89E-02	NaN	Calm1 (includes others),CAMK2B,CAMK2G,FCER1G,GAB2,HLA-A,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PPP3CA,Trbd1,Trbj1-1,Trbj1-2	
Lipid Antigen Presentation by CD1	-0E00	2.24E-02	NaN	ARF6,FCER1G,Trbd1,Trbj1-1,Trbj1-2	
Maturity Onset Diabetes of Young (MODY) Signaling	-0E00	4.17E-02	NaN	CACNB4,KCNJ8,NFKB1	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00	1.79E-02	NaN	RFC2	
Polyamine Regulation in Colon Cancer	-0E00	5.17E-02	NaN	MAPK3,MXD1,TCF4	
DNA Methylation and Transcriptional Repression Signaling	-0E00	4.26E-02	NaN	CDK14,GADD45G,GATAD2A,TCF4	
ATM Signaling	-0E00	4.08E-02	NaN	ATF4,BID,CREB5,GADD45G	
Type I Diabetes Mellitus Signaling	-0E00	4.56E-02	NaN	BID,CASP9,FASLG,FCER1G,HLA-A,IFNG,IFNGR1,IL1RAP,JAK1,NFKB1,PRF1,Trbd1,Trbj1-1,Trbj1-2	
Basal Cell Carcinoma Signaling	-0E00	2.9E-02	NaN	FZD5,TCF4	
Primary Immunodeficiency Signaling	-0E00	2.27E-02	NaN	TNFRSF13C	
Allograft Rejection Signaling	-0E00	3.01E-02	NaN	FASLG,FCER1G,HLA-A,IFNG,PRF1,Trbd1,Trbj1-1,Trbj1-2	
Autoimmune Thyroid Disease Signaling	-0E00	2.83E-02	NaN	FASLG,FCER1G,HLA-A,PRF1,Trbd1,Trbj1-1,Trbj1-2	
Bladder Cancer Signaling	-0E00	3.54E-02	NaN	MAPK3,RAP2A,RAP2B,VEGFC	
Graft-versus-Host Disease Signaling	-0E00	3.29E-02	NaN	FASLG,FCER1G,HLA-A,IFNG,PRF1,Trbd1,Trbj1-1,Trbj1-2	
p70S6K Signaling	-0E00	4.35E-02	NaN	EEF2K,Ighv6-3,Igkv14-111,JAK1,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PLD1,RAP2A,RAP2B,SOS2,SYK,YWHAQ	
G Protein Signaling Mediated by Tubby	-0E00	2.51E-02	NaN	FCER1G,GNAS,GNB1,PLCG2,Trbd1,Trbj1-1,Trbj1-2	
Communication between Innate and Adaptive Immune Cells	-0E00	2.95E-02	NaN	CCL3L3,CCL4,CCL5,Ccl9,CSF2,FCER1G,HLA-A,IFNG,Ighv6-3,Igkv14-111,IL15,TLR4,TNFRSF13C,Trbd1,Trbj1-1,Trbj1-2	
Systemic Lupus Erythematosus Signaling	-0E00	4.01E-02	NaN	CD22,CD72,CREM,FCER1G,FCGR2A,FCGR2B,HLA-A,Ighv6-3,Igkv14-111,LSM1,LYN,MAPK3,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,RAP2A,RAP2B,SNRNP27,SNRPB2,SOS2,TNFRSF13C,Trbd1,Trbj1-1,Trbj1-2	
CDC42 Signaling	-0E00	5.01E-02	NaN	ARPC3,DIAPH1,EXOC2,EXOC6,FCER1G,HLA-A,IQGAP2,ITGA2,ITGA4,ITGA5,ITGAM,ITGAX,ITGB1,MYL12B,PPP1R12A,Trbd1,Trbj1-1,Trbj1-2	
April Mediated Signaling	-0E00	4.76E-02	NaN	NFKB1,TRAF1	
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	-0E00	2.72E-02	NaN	CSF2,FASLG,FCER1G,HLA-A,IFNG,Ighv6-3,Igkv14-111,IL15,NFKB1,SPP1,TLR4,TNFRSF13C,Trbd1,Trbj1-1,Trbj1-2	
B Cell Development	-0E00	1.38E-02	NaN	HLA-A,Ighv6-3,Igkv14-111,IL7	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00	5.08E-02	NaN	Calm1 (includes others),FCER1G,FYN,MAPK3,NFKB1,PLCG2,PPP3CA,RAP2A,RAP2B,SMAD3,SOS2,TGFB3,Trbd1,Trbj1-1,Trbj1-2	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	4.62E-02	NaN	FZD5,IFNG,TCF4	
NUR77 Signaling in T Lymphocytes	-0E00	3.34E-02	NaN	Calm1 (includes others),CASP9,FASLG,FCER1G,HLA-A,MAPK3,PPP3CA,Trbd1,Trbj1-1,Trbj1-2	
Antiproliferative Role of TOB in T Cell Signaling	-0E00	3.36E-02	NaN	CDC34,CUL1,FCER1G,SMAD3,TGFB3,Trbd1,Trbj1-1,Trbj1-2	
OX40 Signaling Pathway	-0E00	2.24E-02	NaN	FCER1G,HLA-A,NFKB1,Trbd1,Trbj1-1,Trbj1-2	
Inhibition of Angiogenesis by TSP1	-0E00	3.03E-02	NaN	FYN	
Cyclins and Cell Cycle Regulation	-0E00	3.66E-02	NaN	CDC34,CUL1,TGFB3	
Spliceosomal Cycle	-0E00	4.17E-02	NaN	MAGOHB,RBMX2	
IL-17A Signaling in Fibroblasts	-0E00	3.75E-02	NaN	CSF2,MAPK3,NFKB1	
Hematopoiesis from Pluripotent Stem Cells	-0E00	2.49E-02	NaN	CSF2,FCER1G,IL7,Trbd1,Trbj1-1,Trbj1-2	
Estrogen-mediated S-phase Entry	-0E00	3.85E-02	NaN	ESR1	
Heparan Sulfate Biosynthesis	-0E00	4.88E-02	NaN	B4GALT7,CHST11,CHST12,SULT2B1	
Retinoate Biosynthesis I	-0E00	2.56E-02	NaN	DHRS3	
Nicotine Degradation III	-0E00	4.08E-02	NaN	UGT1A6,Ugt1a7c	
Heparan Sulfate Biosynthesis (Late Stages)	-0E00	4E-02	NaN	CHST11,CHST12,SULT2B1	
Pyrimidine Ribonucleotides De Novo Biosynthesis	-0E00	2.38E-02	NaN	CMPK1	
Ubiquinol-10 Biosynthesis (Eukaryotic)	-0E00	4E-02	NaN	MICAL1	
Melatonin Degradation I	-0E00	4.17E-02	NaN	UGT1A6,Ugt1a7c	
Pyridoxal 5'-phosphate Salvage Pathway	-0E00	3.08E-02	NaN	GRK5,MAPK3	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	-0E00	4.55E-02	NaN	CMPK1	
Triacylglycerol Degradation	-0E00	3.7E-02	NaN	ABHD2,DAGLB	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00	3.85E-02	NaN	PLCG2	
Phospholipases	-0E00	3.17E-02	NaN	PLCG2,PLD1	
Nicotine Degradation II	-0E00	3.51E-02	NaN	UGT1A6,Ugt1a7c	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	-0E00	4.55E-02	NaN	SYNJ1	
Serotonin Degradation	-0E00	3.7E-02	NaN	UGT1A6,Ugt1a7c	
Salvage Pathways of Pyrimidine Ribonucleotides	-0E00	4.35E-02	NaN	CDADC1,CMPK1,GRK5,MAPK3	
Pyrimidine Ribonucleotides Interconversion	-0E00	2.56E-02	NaN	CMPK1	
Glycolysis I	-0E00	4.35E-02	NaN	PFKP	
Superpathway of Melatonin Degradation	-0E00	3.77E-02	NaN	UGT1A6,Ugt1a7c	
Histidine Degradation VI	-0E00	4.55E-02	NaN	MICAL1	
Stearate Biosynthesis I (Animals)	-0E00	4.35E-02	NaN	DHRS1,DHRS7,LPGAT1	
Pregnenolone Biosynthesis	-0E00	4.76E-02	NaN	MICAL1	
Acetone Degradation I (to Methylglyoxal)	-0E00	5.26E-02	NaN	DHRS1,DHRS7	
Ethanol Degradation IV	-0E00	4.35E-02	NaN	GPX7	
Methionine Degradation I (to Homocysteine)	-0E00	4.76E-02	NaN	EEF1AKMT3	
Superpathway of Methionine Degradation	-0E00	2.78E-02	NaN	EEF1AKMT3	
Antioxidant Action of Vitamin C	-0E00	4.67E-02	NaN	CSF2,MAPK3,NFKB1,PLCG2,PLD1	
Cysteine Biosynthesis III (mammalia)	-0E00	4.35E-02	NaN	EEF1AKMT3	
Oxidative Phosphorylation	-0E00	1.94E-02	NaN	COX6A2,DMAC2L	
Adipogenesis pathway	-0E00	5.19E-02	NaN	AGPAT2,ATG5,CTBP2,FZD5,LPIN1,PER2,SMAD3	
PCP (Planar Cell Polarity) Pathway	-0E00	3.33E-02	NaN	FZD5,JUNB	
SAPK/JNK Signaling	-0E00	4.17E-02	NaN	FCER1G,GNB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,RAC3,RAP2A,RAP2B,SOS2,Trbd1,Trbj1-1,Trbj1-2	
GABA Receptor Signaling	-0E00	2.34E-02	NaN	CACNB4,GNAS,GNB1	
WNT/β-catenin Signaling	-0E00	2.96E-02	NaN	FZD5,ILK,SOX6,TCF4,TGFB3	
Phototransduction Pathway	-0E00	4E-02	NaN	GNB1,PRKACB	
Sonic Hedgehog Signaling	-0E00	3.45E-02	NaN	PRKACB	
Dopamine Receptor Signaling	-0E00	2.6E-02	NaN	PPP1R12A,PRKACB	
Glutamate Receptor Signaling	-0E00	4.62E-02	NaN	Calm1 (includes others),GLUL,GNB1	
NF-κB Signaling	-0E00	4.52E-02	NaN	AZI2,FCER1G,NFKB1,PIK3CB,PIK3CG,PIK3R1,PIK3R5,PLCG2,PRKACB,RAP2A,RAP2B,TAB2,TIRAP,TLR4,Trbd1,Trbj1-1,Trbj1-2	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	3.45E-02	NaN	CACNB4,GNAS,PLCG2,PRKACB	
Gustation Pathway	-0E00	2.7E-02	NaN	CACNB4,DAGLB,KCNJ8,P2RY14,PRKACB	
Sirtuin Signaling Pathway	-0E00	4.46E-02	NaN	AGTRAP,ATG4D,ATG5,GABARAPL1,GADD45G,H1-3,H1f4,MAPK3,NFKB1,PPARGC1A,SIRT3,TUBA8	
Th17 Activation Pathway	-0E00	4E-02	NaN	CSF2,FCER1G,IFNG,IL12RB2,JAK1,NFKB1,STAT4,Trbd1,Trbj1-1,Trbj1-2,TYK2	
SPINK1 Pancreatic Cancer Pathway	-0E00	3.7E-02	NaN	PRSS2,SMAD3	
Endocannabinoid Neuronal Synapse Pathway	-0E00	4.05E-02	NaN	CACNB4,GNB1,MAPK3,PLCG2,PPP3CA,PRKACB	
FAT10 Signaling Pathway	-0E00	1.82E-02	NaN	IFNG	
Inhibition of ARE-Mediated mRNA Degradation Pathway	-0E00	4.52E-02	NaN	CNOT3,FASLG,MAPK3,PRKACB,TNFSF12,XRN1,YWHAQ	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	-0E00	4.71E-02	NaN	ADAM17,FZD5,NFKB1,TCF4	
Kinetochore Metaphase Signaling Pathway	-0E00	3.67E-02	NaN	CENPC,CENPQ,H2AZ1,PPP1R12A	
Coronavirus Replication Pathway	-0E00	5.26E-02	NaN	TUBA8,TUBB6	
Eicosanoid Signaling	-0E00	3.08E-02	NaN	LTA4H,PTGS1	
